City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sao joaquim,-28.2939,-49.9317,53.11,99,99,2.66,BR,1732331422
84,pemangkat,1.1667,108.9667,83.5,74,57,1.74,ID,1732331424
85,wynyard,-41.0,145.7167,63.1,69,100,5.55,AU,1732331425
86,afif,23.9065,42.9172,68.34,22,100,17.22,SA,1732331426
87,leribe,-28.8718,28.045,57.49,70,0,1.5,LS,1732331427
88,guangyuan,32.442,105.823,54.84,80,100,3.2,CN,1732331428
89,punta del este,-34.9667,-54.95,64.51,94,0,10.36,UY,1732331429
90,taltal,-25.4,-70.4833,63.16,81,90,2.26,CL,1732331431
91,nova sintra,14.8667,-24.7167,78.39,73,42,6.73,CV,1732331432
92,sabang,5.8933,95.3214,82.35,78,100,18.05,ID,1732331433
93,kingston,17.997,-76.7936,77.16,86,80,2.01,JM,1732331434
94,enewetak,11.3474,162.3373,83.26,81,6,19.13,MH,1732331435
95,port saint john's,-31.6229,29.5448,71.26,85,7,11.81,ZA,1732331437
96,ponta pora,-22.5361,-55.7256,73.44,79,99,5.03,BR,1732331438
97,huarmey,-10.0681,-78.1522,67.19,86,56,8.37,PE,1732331439
98,holualoa,19.6228,-155.9522,75.04,86,100,4.61,US,1732331440
99,belmonte,-15.8631,-38.8828,75.79,91,95,1.61,BR,1732331441
100,hobyo,5.3505,48.5268,79.18,74,92,12.41,SO,1732331443
101,port lincoln,-34.7333,135.8667,70.56,61,100,9.37,AU,1732331307
102,okuta,9.2167,3.1833,69.67,33,5,4.94,NG,1732331445
103,tocoa,15.6833,-86.0,67.98,99,100,0.36,HN,1732331446
104,manokwari,-0.8667,134.0833,84.33,71,16,7.65,ID,1732331447
105,hailey,43.5196,-114.3153,40.8,65,100,5.99,US,1732331449
106,hilo,19.7297,-155.09,75.09,88,100,4.61,US,1732331450
107,box elder,41.5005,-112.8764,46.69,37,100,4.7,US,1732331451
108,murghob,38.1702,73.9667,8.6,80,75,4.72,TJ,1732331452
109,nantucket,41.2835,-70.0995,48.15,87,100,6.91,US,1732331453
110,chonchi,-42.6128,-73.8092,53.11,88,96,3.83,CL,1732331456
111,talnakh,69.4865,88.3972,-20.83,98,95,10.8,RU,1732331457
112,acarau,-2.8856,-40.12,78.55,74,11,10.07,BR,1732331458
113,codrington,-38.2667,141.9667,74.3,46,100,10.49,AU,1732331459
114,usinsk,65.9939,57.5281,32.65,95,100,24.29,RU,1732331461
115,ciudad lazaro cardenas,17.9583,-102.2,78.89,84,24,3.31,MX,1732331462
116,badger,64.8,-147.5333,7.99,87,20,3.44,US,1732331463
117,tura,25.5198,90.2201,70.45,68,0,1.77,IN,1732331464
118,invercargill,-46.4,168.35,56.01,65,37,13.0,NZ,1732331465
119,macapa,0.0389,-51.0664,80.58,83,0,8.05,BR,1732331466
120,whitehorse,60.7161,-135.0538,-4.97,100,98,2.01,CA,1732331350
121,trincomalee,8.5711,81.2335,81.37,78,78,9.01,LK,1732331469
122,khandyga,62.6667,135.6,-8.46,86,5,1.99,RU,1732331470
123,fort bragg,35.139,-79.006,44.44,54,0,10.36,US,1732331471
124,monopoli,40.9559,17.2896,51.64,53,0,26.33,IT,1732331472
125,saint-joseph,-21.3667,55.6167,75.58,79,20,9.98,RE,1732331474
126,yarmouth,41.7057,-70.2286,48.0,94,100,4.61,US,1732331475
127,hermanus,-34.4187,19.2345,59.81,85,82,5.41,ZA,1732331476
128,kovalam,8.3667,76.9967,80.69,89,75,2.3,IN,1732331192
129,san pedro,14.35,121.0167,88.32,73,82,5.99,PH,1732331478
130,el galpon,-25.3807,-64.6526,71.58,78,100,1.01,AR,1732331480
131,toppenish,46.3774,-120.3087,40.3,89,86,3.36,US,1732331481
132,kodiak,57.79,-152.4072,45.91,36,0,16.11,US,1732331482
133,lazaro cardenas,17.9583,-102.2,78.89,84,24,3.31,MX,1732331483
134,klyuchi,52.2667,79.1667,9.19,96,76,4.29,RU,1732331484
135,huanggang,23.677,116.9996,72.48,56,2,7.61,CN,1732331486
136,gaiman,-43.2897,-65.4929,72.09,18,98,10.98,AR,1732331487
137,hawaiian paradise park,19.5933,-154.9731,74.88,84,100,4.61,US,1732331488
138,trevelin,-43.0858,-71.4639,49.24,79,41,3.76,AR,1732331489
139,northam,51.0333,-4.2167,42.62,92,100,17.94,GB,1732331490
140,brisas de zicatela,15.8369,-97.0419,77.22,78,61,4.34,MX,1732331492
141,cabo san lucas,22.8909,-109.9124,77.76,59,0,6.91,MX,1732331369
142,arauco,-37.2463,-73.3175,54.28,95,51,3.31,CL,1732331494
143,ingenio la esperanza,-24.2255,-64.839,72.64,79,100,0.67,AR,1732331495
144,antonina,-25.4286,-48.7119,67.42,99,98,2.24,BR,1732331496
145,lakatoro,-16.0999,167.4164,81.93,76,38,8.3,VU,1732331497
146,port alfred,-33.5906,26.891,67.17,83,64,4.0,ZA,1732331499
147,iwaki,37.05,140.8833,49.55,69,13,13.06,JP,1732331500
148,fisterra,42.9049,-9.2629,60.44,90,98,26.66,ES,1732331501
149,tsiombe,-25.3,45.4833,77.88,68,0,3.69,MG,1732331235
150,pacasmayo,-7.4006,-79.5714,64.45,89,18,10.36,PE,1732331503
151,valparaiso,-33.0393,-71.6273,60.44,72,0,8.05,CL,1732331461
152,al qubbah,32.7616,22.2424,56.64,91,0,12.82,LY,1732331506
153,thompson,55.7435,-97.8558,18.52,92,98,9.4,CA,1732331507
154,kuytun,54.3419,101.5036,8.89,67,93,11.77,RU,1732331509
155,malango,-2.9627,119.9001,77.43,85,75,3.2,ID,1732331510
156,taoudenni,22.6783,-3.9836,73.09,23,13,9.84,ML,1732331512
157,harij,23.7,71.9,68.09,32,0,7.2,IN,1732331513
158,udachny,66.4167,112.4,-2.97,96,100,10.31,RU,1732331299
159,yulinshi,38.2906,109.7494,42.39,72,9,14.97,CN,1732331516
160,prince rupert,54.3161,-130.3201,33.24,66,80,9.44,CA,1732331517
161,kenai,60.5544,-151.2583,14.09,92,0,4.61,US,1732331518
162,ahar,38.4774,47.0699,40.86,74,66,4.18,IR,1732331519
163,paramonga,-10.6667,-77.8333,66.31,89,54,7.34,PE,1732331521
164,galle,6.0367,80.217,80.92,84,100,1.01,LK,1732331328
165,margaret river,-33.95,115.0667,67.55,52,1,11.16,AU,1732331465
166,lorengau,-2.0226,147.2712,84.29,73,100,3.8,PG,1732331524
167,mount gambier,-37.8333,140.7667,75.36,51,100,2.8,AU,1732331525
168,uturoa,-16.7333,-151.4333,79.48,82,25,13.18,PF,1732331527
169,palikir - national government center,6.9248,158.1611,83.14,84,100,6.91,FM,1732331371
170,tokar,18.4254,37.729,79.29,74,86,14.92,SD,1732331529
171,esmeraldas,-19.7625,-44.3139,65.91,96,100,4.03,BR,1732331530
172,aitape,-3.1374,142.3475,84.36,77,100,6.31,PG,1732331532
173,vorkuta,67.5,64.0,19.0,96,89,14.52,RU,1732331533
174,saint-philippe,-21.3585,55.7679,77.23,84,40,16.37,RE,1732331534
175,ambovombe,-25.1667,46.0833,75.58,71,1,4.7,MG,1732331535
176,mo i rana,66.3128,14.1428,20.32,86,100,0.0,NO,1732331536
